iter	RMSE
0	11992.12625
1	11902.07568
2	11817.37488
3	11728.51963
4	11652.16382
5	11579.81134
6	11503.24631
7	11428.35073
8	11360.67007
9	11279.66806
10	11197.82858
11	11122.47683
12	11048.07045
13	10974.84511
14	10894.0251
15	10831.96934
16	10758.16618
17	10686.11923
18	10614.32093
19	10549.43289
20	10474.4054
21	10398.64454
22	10332.69886
23	10275.4659
24	10217.7701
25	10161.89308
26	10102.40403
27	10033.56476
28	9965.643697
29	9902.768266
30	9839.38312
31	9771.590108
32	9705.501138
33	9649.735178
34	9589.452741
35	9528.98812
36	9466.5464
