iter	Passed	Remaining
0	2	253
1	3	185
2	5	173
3	6	165
4	8	162
5	10	163
6	12	161
7	13	159
8	15	156
9	16	147
10	18	147
11	19	146
12	21	142
13	22	139
14	23	134
15	25	133
16	26	131
17	28	129
18	29	127
19	30	122
20	32	121
21	33	119
22	35	117
23	36	116
24	38	115
25	39	113
26	41	111
27	42	110
28	44	108
29	46	107
30	47	106
31	49	105
32	51	104
33	53	103
34	54	100
35	55	99
36	57	97
37	58	95
38	60	94
39	61	92
40	63	91
41	65	89
42	66	88
43	68	87
44	69	85
45	71	83
46	72	82
47	73	79
48	75	78
49	76	76
50	78	75
51	79	73
52	81	71
53	82	70
54	84	68
55	85	67
56	87	66
57	89	65
58	90	63
59	92	61
60	95	60
61	96	59
62	98	57
63	100	56
64	102	55
65	103	53
66	104	51
67	106	50
68	108	48
69	110	47
70	111	45
71	113	44
72	115	42
73	116	41
74	117	39
75	119	37
76	121	36
77	122	34
78	124	33
79	126	31
80	128	30
81	130	28
82	132	27
83	133	25
84	134	23
85	136	22
86	137	20
87	140	19
88	142	17
89	144	16
90	145	14
91	146	12
92	148	11
93	149	9
94	151	7
95	153	6
96	155	4
97	156	3
98	158	1
99	160	0
